global_step,episode,step_in_ep,avg_r_speed,avg_r_orientation,avg_r_lane,avg_r_collision,avg_r_offroad,avg_r_total,speed_kmh
5605,4,1600,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
5655,4,1650,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
5705,4,1700,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
5755,4,1750,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
5805,4,1800,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
5855,4,1850,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
5905,4,1900,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
5955,4,1950,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6005,4,2000,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6055,5,50,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6105,5,100,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6155,5,150,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6205,5,200,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6255,5,250,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6305,5,300,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6355,5,350,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6405,5,400,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6455,5,450,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6505,5,500,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6555,5,550,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6605,5,600,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6655,5,650,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6705,5,700,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6755,5,750,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6805,5,800,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6855,5,850,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6905,5,900,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
6955,5,950,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7005,5,1000,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7055,5,1050,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7105,5,1100,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7155,5,1150,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7205,5,1200,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7255,5,1250,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7305,5,1300,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7355,5,1350,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7405,5,1400,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7455,5,1450,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7505,5,1500,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7555,5,1550,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7605,5,1600,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7655,5,1650,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7705,5,1700,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7755,5,1750,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7805,5,1800,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7855,5,1850,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7905,5,1900,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7955,5,1950,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8005,5,2000,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8055,6,50,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8105,6,100,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8155,6,150,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8205,6,200,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8255,6,250,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8305,6,300,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8355,6,350,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8405,6,400,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8455,6,450,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8505,6,500,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8555,6,550,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8605,6,600,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8655,6,650,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8705,6,700,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8755,6,750,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8805,6,800,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8855,6,850,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8905,6,900,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
8955,6,950,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9005,6,1000,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9055,6,1050,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9105,6,1100,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9155,6,1150,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9205,6,1200,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9255,6,1250,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9305,6,1300,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9355,6,1350,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9405,6,1400,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9455,6,1450,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9505,6,1500,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9555,6,1550,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9605,6,1600,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9655,6,1650,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9705,6,1700,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9755,6,1750,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9805,6,1800,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9855,6,1850,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9905,6,1900,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
9955,6,1950,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10005,6,2000,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10055,7,50,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10105,7,100,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10155,7,150,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10205,7,200,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10255,7,250,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10305,7,300,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10355,7,350,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10405,7,400,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10455,7,450,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10505,7,500,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10555,7,550,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10605,7,600,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10655,7,650,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10705,7,700,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10755,7,750,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10805,7,800,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10855,7,850,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10905,7,900,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
10955,7,950,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11005,7,1000,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11055,7,1050,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11105,7,1100,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11155,7,1150,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11205,7,1200,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11255,7,1250,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11305,7,1300,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11355,7,1350,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11405,7,1400,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11455,7,1450,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11505,7,1500,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11555,7,1550,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11605,7,1600,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11655,7,1650,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11705,7,1700,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11755,7,1750,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11805,7,1800,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11855,7,1850,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11905,7,1900,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
11955,7,1950,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12005,7,2000,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12055,8,50,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12105,8,100,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12155,8,150,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12205,8,200,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12255,8,250,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12305,8,300,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12355,8,350,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12405,8,400,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12455,8,450,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12505,8,500,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12555,8,550,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12605,8,600,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12655,8,650,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12705,8,700,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12755,8,750,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12805,8,800,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12855,8,850,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12905,8,900,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12955,8,950,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13005,8,1000,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13055,8,1050,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13105,8,1100,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13155,8,1150,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13205,8,1200,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13255,8,1250,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13305,8,1300,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13355,8,1350,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13405,8,1400,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13455,8,1450,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13505,8,1500,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13555,8,1550,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13605,8,1600,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13655,8,1650,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13705,8,1700,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13755,8,1750,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13805,8,1800,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13855,8,1850,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13905,8,1900,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
13955,8,1950,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14005,8,2000,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14055,9,50,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14105,9,100,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14155,9,150,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14205,9,200,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14255,9,250,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14305,9,300,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14355,9,350,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14405,9,400,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14455,9,450,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14505,9,500,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14555,9,550,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14605,9,600,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14655,9,650,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14705,9,700,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14755,9,750,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14805,9,800,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14855,9,850,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14905,9,900,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
14955,9,950,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15005,9,1000,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15055,9,1050,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15105,9,1100,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15155,9,1150,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15205,9,1200,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15255,9,1250,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15305,9,1300,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15355,9,1350,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15405,9,1400,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15455,9,1450,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15505,9,1500,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15555,9,1550,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15605,9,1600,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15655,9,1650,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15705,9,1700,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15755,9,1750,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15805,9,1800,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15855,9,1850,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15905,9,1900,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
15955,9,1950,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16005,9,2000,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16055,10,50,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16105,10,100,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16155,10,150,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16205,10,200,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16255,10,250,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16305,10,300,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16355,10,350,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16405,10,400,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16455,10,450,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16505,10,500,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16555,10,550,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16605,10,600,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16655,10,650,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16705,10,700,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16755,10,750,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16805,10,800,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16855,10,850,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16905,10,900,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
16955,10,950,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
17005,10,1000,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
17055,10,1050,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
17105,10,1100,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
17155,10,1150,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
17205,10,1200,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
17255,10,1250,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
17305,10,1300,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
